tick,year,month,business_id,type,city,stage,active,revenue,opex,tax,profit,cash,debt,employees,marketing_budget,reputation,price_mult,capacity,quality,subscribers,mrr
0,2024,1,13,restaurant,Novosibirsk,opening,true,1577965.88,1449893.25,94677.95,33394.68,2666073.51,0,9,119540.62,0.57,1.08,1,0.7,0,0
0,2024,1,14,logistics,Novosibirsk,opening,true,1379784.72,2383629.1,82787.08,-1086631.46,4468788.88,0,17,164312.77,0.58,0.89,1,0.75,0,0
0,2024,1,15,retail,Novosibirsk,opening,true,3662936.78,3044761.57,219776.21,398399,3083125.09,0,11,71048.84,0.59,0.98,1,0.64,0,0
0,2024,1,16,restaurant,Kazan,opening,true,1761540.64,1597447.01,140923.25,23170.38,2360620.89,0,8,137687.19,0.68,0.91,1,0.79,0,0
0,2024,1,17,logistics,Kazan,opening,true,1589140.42,2449126.86,95348.43,-955334.87,5457376.58,0,18,187316.24,0.73,1.15,1,0.68,0,0
0,2024,1,18,saas,Novosibirsk,opening,true,132680.21,1068932.03,0,-936251.82,1347482.83,0,6,85154.34,0.57,1.16,1,0.81,58,105550.71
0,2024,1,19,restaurant,Yekaterinburg,opening,true,1209808.47,1440794.15,0,-230985.68,2208951.53,0,9,49145,0.55,1.03,1,0.59,0,0
0,2024,1,20,restaurant,Moscow,opening,true,1295289.33,1971881.02,103623.15,-780214.84,1968462.28,0,10,172200.71,0.6,1.14,1,0.62,0,0
0,2024,1,21,logistics,Yekaterinburg,opening,true,1082203.23,1556690.76,0,-474487.53,3793831.82,0,8,109373.36,0.46,0.9,1,0.66,0,0
0,2024,1,22,saas,Moscow,opening,true,119449.92,1458460.25,0,-1339010.33,1984863.89,0,6,44400.05,0.55,1.09,1,0.72,59,101339.48
0,2024,1,23,retail,Novosibirsk,opening,true,3695823.76,3250445.8,221749.43,223628.53,2720323.39,0,14,88543.26,0.62,1.05,1,0.7,0,0
0,2024,1,24,logistics,SaintPetersburg,opening,true,1119838.75,2837747.16,67190.33,-1785098.74,1793496.03,0,17,177192.94,0.48,0.87,1,0.67,0,0
0,2024,1,25,restaurant,Kazan,opening,true,1263953.64,1492278.19,75837.22,-304161.77,1949693.45,0,9,117467.14,0.51,1.13,1,0.52,0,0
0,2024,1,26,autoservice,Yekaterinburg,opening,true,2494624.63,2174464.29,48024.05,272136.29,4840413.21,0,5,220419.82,0.56,1.1,1,0.85,0,0
0,2024,1,27,autoservice,Kazan,opening,true,2118458.96,1894968.79,169476.72,54013.45,2678018.89,0,6,149338.81,0.49,1.08,1,0.71,0,0
0,2024,1,28,restaurant,Kazan,opening,true,1504900.91,1662049.17,0,-157148.26,1919176.72,0,10,95211.19,0.69,1.18,1,0.68,0,0
0,2024,1,29,restaurant,Moscow,opening,true,1100228.14,1885587.89,66013.69,-851373.44,1796135.6,0,10,67087.44,0.48,1.18,1,0.59,0,0
0,2024,1,30,saas,Kazan,opening,true,151324.59,1558699.44,9079.48,-1416454.33,1308991.62,0,8,110196.35,0.52,1.17,1,0.78,69,127510.44
0,2024,1,31,autoservice,Moscow,opening,true,2343457.28,2675887.2,0,-332429.92,4960018.35,0,8,220407.84,0.72,0.94,1,0.62,0,0
0,2024,1,32,autoservice,Kazan,opening,true,2586368.08,2338664.29,155182.08,92521.71,3540459.6,0,8,145690.35,0.65,1.19,1,0.6,0,0
0,2024,1,33,logistics,Yekaterinburg,opening,true,1091335.35,2118866.08,65480.12,-1093010.85,2993776.56,0,16,140494.01,0.46,0.95,1,0.67,0,0
0,2024,1,34,logistics,Moscow,opening,true,1355171.43,2618693.07,0,-1263521.64,5622833.89,0,14,150838.66,0.74,0.86,1,0.72,0,0
0,2024,1,35,production,Kazan,opening,true,953546.01,4232159.38,57212.76,-3335826.13,1799903.7,0,37,274372.16,0.51,1.18,1,0.67,0,0
0,2024,1,36,autoservice,SaintPetersburg,opening,true,1865561.63,2071417.41,111933.7,-317789.48,3103965.69,0,7,103372,0.61,1.18,1,0.82,0,0
0,2024,1,37,restaurant,Novosibirsk,opening,true,1492427.38,1468983.61,89545.64,-66101.87,2541457.85,0,7,179483.5,0.49,0.9,1,0.81,0,0
0,2024,1,38,production,Kazan,opening,true,895437.48,4081999.27,0,-3186561.79,5579661.31,0,33,154874.35,0.7,1.01,1,0.67,0,0
0,2024,1,39,logistics,Moscow,opening,true,1410939.79,3145413.15,84656.39,-1819129.75,7519857.1,0,13,492941.59,0.68,1.16,0.9,0.52,0,0
0,2024,1,40,logistics,Kazan,opening,true,987182.73,2076046.05,59230.96,-1148094.28,2119368.34,0,14,103535.02,0.55,1.02,1,0.56,0,0
0,2024,1,41,retail,SaintPetersburg,opening,true,2723302.82,3013337.25,163398.17,-453432.6,3486947,0,11,84621.04,0.49,1.02,1,0.69,0,0
0,2024,1,42,retail,Yekaterinburg,opening,true,2330159.74,2041872.2,49008.88,239278.66,2708484.61,0,5,53176.3,0.5,1.06,1,0.48,0,0
0,2024,1,43,saas,Yekaterinburg,opening,true,145841.85,1420055.46,0,-1274213.61,536093.7,0,7,53098.4,0.55,1.05,1,0.82,71,117272.47
0,2024,1,44,autoservice,Moscow,opening,true,2335156.37,2912149.62,0,-576993.25,6345818.94,0,10,291295.44,0.62,1.12,1,0.81,0,0
0,2024,1,45,restaurant,Yekaterinburg,opening,true,1085271,1265656.07,65116.26,-245501.33,3479010.23,0,7,55619.29,0.52,1.03,1,0.68,0,0
0,2024,1,46,retail,Yekaterinburg,opening,true,3009873.09,2757031.34,180592.39,72249.36,2048923.88,0,9,55226.21,0.68,1.08,1,0.74,0,0
0,2024,1,47,logistics,Kazan,opening,true,1318570.21,2590540.31,79114.21,-1351084.31,1812922.48,0,21,235427.63,0.67,1.03,1,0.83,0,0
0,2024,1,48,retail,Yekaterinburg,opening,true,2446588.64,2201323.97,36789.7,208474.97,2559709.09,0,6,43634.64,0.56,1.14,1,0.56,0,0
0,2024,1,49,restaurant,Yekaterinburg,opening,true,1320713.01,1537037.5,79242.78,-295567.27,2940484.25,0,10,160938.66,0.61,0.94,1,0.78,0,0
0,2024,1,50,logistics,SaintPetersburg,opening,true,1312482.8,2551129.12,78748.97,-1317395.29,2917873.88,0,15,147523.47,0.54,0.89,1,0.82,0,0
0,2024,1,51,logistics,Yekaterinburg,opening,true,1040215.38,2182761.57,0,-1142546.19,2548322,0,15,255810.21,0.52,0.9,1,0.66,0,0
0,2024,1,52,retail,Kazan,opening,true,2858862.95,2574805.06,171531.78,112526.11,4247232.06,0,9,66184.36,0.73,0.86,1,0.63,0,0
0,2024,1,53,retail,Moscow,opening,true,2302772.99,2633463.27,0,-330690.28,4235580.34,0,8,91157.22,0.46,0.95,1,0.69,0,0
0,2024,1,54,production,Kazan,opening,true,798419.18,2960355.88,0,-2161936.7,6413637.47,0,19,245156.72,0.48,0.86,1,0.75,0,0
0,2024,1,55,autoservice,Yekaterinburg,opening,true,1369924.96,2153201.36,109594,-892870.4,1975206.34,0,10,149094.63,0.52,0.91,1,0.57,0,0
0,2024,1,56,restaurant,Kazan,opening,true,1114651.51,1461349.85,0,-346698.34,2870978.31,0,9,130537.23,0.51,0.97,1,0.6,0,0
0,2024,1,57,restaurant,Kazan,opening,true,1088270.28,1205901.2,65296.22,-182927.14,2126089.8,0,6,73165.33,0.59,1.06,1,0.5,0,0
0,2024,1,58,retail,Novosibirsk,opening,true,2706103.98,2620827.29,162366.24,-77089.55,1522542.92,0,12,37240.34,0.53,1.03,1,0.78,0,0
0,2024,1,59,autoservice,Novosibirsk,opening,true,1793231.87,1992174.85,0,-198942.98,3207191.18,0,8,167732.12,0.62,0.97,1,0.55,0,0
0,2024,1,60,autoservice,Novosibirsk,opening,true,1758805.69,1979263.63,105528.34,-325986.28,2323804.42,0,9,124970.57,0.63,1.01,1,0.65,0,0
0,2024,1,61,restaurant,Yekaterinburg,opening,true,1024551.09,1499911.67,0,-475360.58,1249241.74,0,11,38956.83,0.68,0.91,1,0.55,0,0
0,2024,1,62,production,SaintPetersburg,opening,true,726565.85,5163863.57,43593.95,-4480891.67,6322699.54,0,36,381161.35,0.67,0.9,1,0.52,0,0
0,2024,1,63,restaurant,Kazan,opening,true,1029520.07,1419740.87,0,-390220.8,1554324.08,0,9,117390.24,0.46,0.96,1,0.79,0,0
0,2024,1,64,retail,Yekaterinburg,growth,true,6724937.27,4573517.46,322712.97,1828706.84,6622707.03,0,10,83761.22,0.73,1.15,1,0.56,0,0
0,2024,1,65,restaurant,Novosibirsk,opening,true,957884.16,1270927.5,0,-313043.34,1958008.32,0,10,64037.1,0.52,1.17,1,0.51,0,0
0,2024,1,66,autoservice,SaintPetersburg,growth,true,3479695.89,3087562.56,208781.75,183351.58,5738775.52,0,10,133127.44,0.52,1.18,1,0.67,0,0
0,2024,1,67,restaurant,Kazan,opening,true,1282355.55,1263335.36,2853.03,16167.16,1933257.99,0,7,71839.48,0.61,1.16,1,0.64,0,0
0,2024,1,68,production,Yekaterinburg,opening,true,744067.86,3509901.64,44644.07,-2810477.85,2471054.06,0,28,120968.24,0.5,1.08,1,0.84,0,0
0,2024,1,69,retail,Moscow,opening,true,2943303.98,3434317.16,176598.24,-667611.42,3018097.1,0,10,204208.5,0.74,1.18,1,0.51,0,0
0,2024,1,70,production,SaintPetersburg,opening,true,847118.71,3615784.38,0,-2768665.67,3513731.56,0,20,244651.81,0.48,1.05,1,0.83,0,0
0,2024,1,71,restaurant,Moscow,opening,true,1295593.4,2002560.02,77735.6,-784702.22,3281393.98,0,10,102370.18,0.66,0.96,1,0.82,0,0
0,2024,1,72,logistics,Kazan,opening,true,980845.26,2038046.58,0,-1057201.32,2725312.49,0,15,161513.36,0.54,0.86,1,0.73,0,0
0,2024,1,73,retail,Moscow,opening,true,3178014.06,3410531.75,0,-232517.69,3943267.19,0,10,128203.98,0.67,1.05,1,0.56,0,0
0,2024,1,74,autoservice,Moscow,opening,true,1625983.52,2785385.86,97559.01,-1256961.35,6816501.02,0,10,325426.7,0.49,0.9,1,0.77,0,0
0,2024,1,75,logistics,Novosibirsk,opening,true,1529928.93,2229099.8,91795.74,-790966.61,3433361.35,0,15,157954.7,0.71,1.14,1,0.56,0,0
0,2024,1,76,saas,Novosibirsk,opening,true,157433.73,1580451.59,9446.02,-1432463.88,420915.12,0,9,77312.63,0.68,1.06,1,0.77,71,118173.99
0,2024,1,77,autoservice,Novosibirsk,opening,true,1626789.35,1564641.98,97607.36,-35459.99,3545881.38,0,5,148493.13,0.54,1.12,1,0.57,0,0
0,2024,1,78,logistics,Kazan,opening,true,1176396.16,2233416.06,0,-1057019.9,2099772.71,0,16,79079.94,0.71,1.03,1,0.73,0,0
0,2024,1,79,logistics,Yekaterinburg,opening,true,1133626.15,2565541.84,68017.57,-1499933.26,2599914.78,0,21,207131.27,0.7,1.08,0.9,0.6,0,0
0,2024,1,80,retail,Kazan,opening,true,2256129.88,2235929.29,3030.09,17170.5,2363643.96,0,9,55005.56,0.58,0.96,1,0.65,0,0
0,2024,1,81,logistics,Moscow,opening,true,1093843.24,3336004.79,65630.59,-2307792.14,5051163.63,0,21,179066.76,0.46,1.14,1,0.69,0,0
0,2024,1,82,saas,SaintPetersburg,opening,true,131127.66,1394202.47,0,-1263074.81,1646867.17,0,5,137320.98,0.61,0.86,1,0.61,83,112757.69
0,2024,1,83,saas,Novosibirsk,opening,true,127043.78,1139560.19,7622.63,-1020139.04,764560.19,0,7,74130.16,0.48,1.17,1,0.72,62,114230.1
0,2024,1,84,logistics,Novosibirsk,opening,true,1217409.23,2409760.38,73044.55,-1265395.7,4572341.35,0,17,143331.95,0.66,0.92,1,0.85,0,0
0,2024,1,85,saas,Yekaterinburg,opening,true,228811.96,1647207.41,0,-1418395.45,738025.05,0,9,95928.65,0.57,1.2,1,0.77,99,186828.54
0,2024,1,86,retail,Kazan,opening,true,2759855.15,2823583.18,165591.31,-229319.34,2125542.8,0,12,94777.01,0.71,1.02,1,0.75,0,0
0,2024,1,87,production,SaintPetersburg,opening,true,746697.26,5320691.27,0,-4573994.01,2915050.91,0,32,424591.28,0.48,0.87,1,0.76,0,0
0,2024,1,88,restaurant,Yekaterinburg,opening,true,1140653.79,1284142.16,68439.23,-211927.6,2227818.36,0,6,121377.91,0.62,1.03,1,0.8,0,0
0,2024,1,89,retail,Yekaterinburg,opening,true,2594815.56,2411101.81,27557.06,156156.69,2073198.89,0,8,42994.15,0.69,1.13,1,0.81,0,0
0,2024,1,90,saas,Yekaterinburg,opening,true,181767.39,1117137.98,0,-935370.59,596743.37,0,6,43830.76,0.71,1.06,1,0.8,79,131603.23
0,2024,1,91,logistics,Yekaterinburg,opening,true,873737.37,2520591.22,52424.24,-1699278.09,3473362.07,0,21,132022.38,0.49,1.07,1,0.53,0,0
0,2024,1,92,restaurant,SaintPetersburg,opening,true,1110848.27,1750044.7,66650.9,-705847.33,2361469.78,0,11,157735.91,0.7,1.02,1,0.63,0,0
0,2024,1,93,restaurant,Novosibirsk,opening,true,1039161.01,1293723.44,62349.66,-316912.09,1877158.47,0,10,32199.66,0.7,1.12,1,0.55,0,0
0,2024,1,94,logistics,Moscow,opening,true,1012826.97,3040733.56,0,-2027906.59,5231441.68,0,16,241143.19,0.61,0.93,1,0.61,0,0
0,2024,1,95,logistics,Kazan,opening,true,1236388.13,2661287.91,74183.29,-1499083.07,4345984.06,0,20,278118.69,0.59,1.14,1,0.7,0,0
0,2024,1,96,restaurant,Kazan,opening,true,991962.88,1590584.95,0,-598622.07,2267869.14,0,12,104581.51,0.55,0.96,1,0.65,0,0
0,2024,1,97,retail,Kazan,growth,true,5033540.3,4334955.38,104787.74,593797.18,4960431.37,0,15,81563.48,0.53,1.03,1,0.5,0,0
0,2024,1,98,restaurant,Moscow,opening,true,1078626.57,2225645.03,0,-1147018.46,1165808.94,0,11,193900.1,0.59,1.04,1,0.63,0,0
0,2024,1,99,saas,Novosibirsk,opening,true,189672.13,1311387.97,0,-1121715.84,237176.49,0,7,61399.51,0.52,1.07,1,0.8,94,158303.6
0,2024,1,100,restaurant,SaintPetersburg,opening,true,1056722.27,2018187.14,63403.34,-1024868.21,1577944.26,0,12,98927.43,0.69,1.04,1,0.59,0,0
1,2024,2,1,restaurant,SaintPetersburg,opening,true,1466407.6,1532053.15,117312.61,-182958.16,2704022.07,0,7,92488.93,0.64,1.1,1,0.51,0,0
1,2024,2,2,restaurant,Kazan,opening,true,1573761.32,1889528,125900.91,-441667.59,1437329.05,0,11,143558.2,0.67,1.02,1,0.58,0,0
1,2024,2,3,saas,Yekaterinburg,bankrupt,false,157282.38,1580097.59,0,-1422815.21,-981297.08,0,9,68934.09,0.39,1.05,1,0.74,72,150445.48
1,2024,2,4,retail,SaintPetersburg,opening,true,3147760.69,2953519.34,29136.2,165105.15,4296335.45,0,7,178179.1,0.52,0.99,1,0.56,0,0
1,2024,2,5,saas,Moscow,opening,true,158728.61,2266759.51,0,-2108030.9,-33343.8,0,8,74276.85,0.66,0.88,1,0.72,71,124399.67
1,2024,2,6,logistics,Moscow,opening,true,899118.58,2476287.35,53947.11,-1631115.88,2669227.62,0,12,126755.83,0.59,1.01,1,0.64,0,0
1,2024,2,7,retail,Moscow,opening,true,2572583.58,3097998.84,0,-525415.26,4665676.67,0,11,129911.44,0.61,1.14,1,0.54,0,0
1,2024,2,8,production,Yekaterinburg,opening,true,920699.83,2929574.08,55241.99,-2064116.24,1326283.72,0,18,381569.46,0.49,0.89,1,0.58,0,0
1,2024,2,9,production,Novosibirsk,bankrupt,false,910427.77,4464071.87,0,-3553644.1,-1946676.85,0,35,110392.2,0.47,0.89,1,0.76,0,0
1,2024,2,10,logistics,Yekaterinburg,opening,true,1585879.12,2876206.74,0,-1290327.62,3269793.63,0,16,297579.63,0.48,1.07,1,0.75,0,0
1,2024,2,11,retail,Novosibirsk,opening,true,4416188.09,3763743.86,264971.29,387472.94,3180254.63,0,13,127258.22,0.72,1.19,1,0.64,0,0
1,2024,2,12,restaurant,Novosibirsk,growth,true,2687240.72,1786828.31,135061.86,765350.55,6274717.94,0,7,85482.55,0.56,0.98,1,0.66,0,0
1,2024,2,13,restaurant,Novosibirsk,opening,true,1759224.35,1554112.05,105553.46,99558.84,3265632.35,0,9,137471.71,0.57,1.08,1,0.7,0,0
1,2024,2,14,logistics,Novosibirsk,opening,true,1909271.59,2633628.73,114556.3,-838913.44,4129875.44,0,17,164312.77,0.66,0.89,1,0.75,0,0
1,2024,2,15,retail,Novosibirsk,opening,true,3366532.66,3023343.65,201991.96,141197.05,3224322.14,0,11,71048.84,0.59,0.98,1,0.64,0,0
1,2024,2,16,restaurant,Kazan,opening,true,1576316.94,1596586.79,94579.02,-114848.87,2245772.02,0,8,137687.19,0.68,0.91,1,0.79,0,0
1,2024,2,17,logistics,Kazan,opening,true,1521655.48,2482253.14,91299.33,-1051896.99,4405479.59,0,18,187316.24,0.73,1.15,1,0.68,0,0
1,2024,2,18,saas,Novosibirsk,opening,true,182549.67,1101821.52,0,-919271.85,928210.98,0,6,85154.34,0.57,1.16,1,0.81,63,145223.22
1,2024,2,19,restaurant,Yekaterinburg,opening,true,1181465.35,1459112.18,0,-277646.83,1931304.7,0,9,49145,0.55,1.03,1,0.59,0,0
1,2024,2,20,restaurant,Moscow,opening,true,1487970.08,1974473.83,89278.2,-575781.95,1392680.33,0,9,172200.71,0.6,1.14,1,0.61,0,0
1,2024,2,21,logistics,Yekaterinburg,opening,true,607990.36,1499317.73,0,-891327.37,2902504.45,0,8,125779.36,0.41,0.9,1,0.66,0,0
1,2024,2,22,saas,Moscow,opening,true,158152.67,1320729.09,0,-1162576.42,702287.47,0,5,51060.06,0.55,1.09,0.9,0.71,62,134890.28
1,2024,2,23,retail,Novosibirsk,opening,true,3834814.27,3482536.87,230088.86,122188.54,2842511.93,0,14,101824.75,0.62,1.05,1,0.7,0,0
1,2024,2,24,logistics,SaintPetersburg,opening,true,1209917.63,2896004.02,72595.06,-1758681.45,34814.58,0,17,177192.94,0.48,0.87,1,0.67,0,0
1,2024,2,25,restaurant,Kazan,opening,true,1303839.37,1498999.78,78230.36,-273390.77,1676302.68,0,8,117467.14,0.51,1.1,1,0.51,0,0
1,2024,2,26,autoservice,Yekaterinburg,opening,true,2247847.36,2001025.7,37023.25,209798.41,5050211.62,0,5,220419.82,0.56,1.1,1,0.85,0,0
1,2024,2,27,autoservice,Kazan,opening,true,2023381.13,1888492.79,121402.87,13485.47,3191504.36,0,6,149338.81,0.49,1.08,1,0.71,0,0
1,2024,2,28,restaurant,Kazan,opening,true,1759760.79,1457878.78,45282.3,256599.71,2175776.43,0,6,95211.19,0.69,1.18,1,0.63,0,0
1,2024,2,29,restaurant,Moscow,opening,true,1261259.99,2032906.03,75675.6,-847321.64,948813.96,0,10,77150.56,0.48,1.18,1,0.59,0,0
1,2024,2,30,saas,Kazan,opening,true,205567.51,1628851.57,12334.05,-1435618.11,-126626.49,0,8,126725.8,0.52,1.17,1,0.78,74,173217.08
1,2024,2,31,autoservice,Moscow,opening,true,2201242.57,2547700.93,0,-346458.36,4613559.99,0,7,253469.02,0.72,0.94,1,0.61,0,0
1,2024,2,32,autoservice,Kazan,opening,true,2168024.28,2205918.01,130081.46,-167975.19,3372484.41,0,8,145690.35,0.65,1.19,1,0.6,0,0
1,2024,2,33,logistics,Yekaterinburg,opening,true,1409308.98,2251681.56,84558.54,-926931.12,2066845.44,0,15,140494.01,0.46,0.95,1,0.66,0,0
1,2024,2,34,logistics,Moscow,opening,true,1717094.91,2810012.85,0,-1092917.94,4529915.95,0,14,150838.66,0.74,0.86,1,0.72,0,0
1,2024,2,35,production,Kazan,bankrupt,false,907827.56,4244989.58,54469.65,-3391631.67,-1591727.97,0,36,274372.16,0.45,1.14,1,0.66,0,0
1,2024,2,36,autoservice,SaintPetersburg,opening,true,2195372.39,2296477.7,131722.34,-232827.65,2871138.04,0,7,103372,0.61,1.18,1,0.82,0,0
1,2024,2,37,restaurant,Novosibirsk,opening,true,1665618.09,1623750.2,99937.09,-58069.2,2483388.65,0,7,179483.5,0.49,0.9,1,0.81,0,0
1,2024,2,38,production,Kazan,opening,true,1092757.07,4152931.19,0,-3060174.12,2519487.19,0,32,154874.35,0.7,1.01,1,0.66,0,0
1,2024,2,39,logistics,Moscow,opening,true,1395229.67,3099599.45,83713.78,-1788083.56,5681773.54,0,12,566882.83,0.66,1.16,0.9,0.51,0,0
1,2024,2,40,logistics,Kazan,opening,true,1185563.36,2204054.58,71133.8,-1089625.02,1029743.32,0,14,103535.02,0.55,1.02,1,0.56,0,0
1,2024,2,41,retail,SaintPetersburg,opening,true,3038519.44,3254156.38,182311.17,-397948.11,3088998.89,0,11,97314.2,0.49,0.99,1,0.69,0,0
1,2024,2,42,retail,Yekaterinburg,opening,true,2864261.92,2458434.36,60874.13,344953.43,3053438.04,0,5,53176.3,0.5,1.06,1,0.48,0,0
1,2024,2,43,saas,Yekaterinburg,bankrupt,false,180801.45,1290831.04,0,-1110029.59,-573935.89,0,6,53098.4,0.55,1.02,1,0.81,72,146118.2
1,2024,2,44,autoservice,Moscow,opening,true,2469405.49,2937836.33,0,-468430.84,5877388.1,0,9,334989.76,0.62,1.12,1,0.8,0,0
1,2024,2,45,restaurant,Yekaterinburg,opening,true,1216169.78,1252500.17,72970.19,-109300.58,3369709.65,0,6,63962.18,0.46,1,1,0.67,0,0
1,2024,2,46,retail,Yekaterinburg,opening,true,3171606.81,2993946.17,190296.41,-12635.77,2036288.11,0,9,55226.21,0.62,1.08,1,0.74,0,0
1,2024,2,47,logistics,Kazan,opening,true,1458374.39,2620970.9,87502.46,-1250098.97,442823.51,0,20,235427.63,0.67,1.03,0.9,0.82,0,0
1,2024,2,48,retail,Yekaterinburg,opening,true,3257435.74,2702776.88,83198.83,471460.03,3031169.12,0,6,43634.64,0.56,1.14,1,0.56,0,0
1,2024,2,49,restaurant,Yekaterinburg,opening,true,1536367.46,1686968.85,92182.05,-242783.44,2697700.81,0,10,160938.66,0.61,0.94,1,0.78,0,0
1,2024,2,50,logistics,SaintPetersburg,opening,true,1184457.15,2467352.03,94756.57,-1377651.45,1490222.43,0,14,147523.47,0.52,0.89,1,0.81,0,0
1,2024,2,51,logistics,Yekaterinburg,opening,true,1113375.7,2260113.72,0,-1146738.02,1401583.98,0,15,255810.21,0.46,0.9,1,0.66,0,0
1,2024,2,52,retail,Kazan,opening,true,3601714.34,3015846.88,216102.86,369764.6,4616996.66,0,9,66184.36,0.73,0.86,1,0.63,0,0
1,2024,2,53,retail,Moscow,opening,true,2854159.41,2967986.06,0,-113826.65,4121753.69,0,8,91157.22,0.46,0.95,1,0.69,0,0
1,2024,2,54,production,Kazan,opening,true,824189.57,2933085.35,0,-2108895.78,4304741.69,0,18,245156.72,0.42,0.86,1,0.74,0,0
1,2024,2,55,autoservice,Yekaterinburg,opening,true,1552123.95,2274193.78,93127.44,-815197.27,1160009.07,0,10,149094.63,0.52,0.91,1,0.57,0,0
1,2024,2,56,restaurant,Kazan,opening,true,1310900.37,1482875.71,0,-171975.34,2699002.97,0,8,130537.23,0.51,0.97,1,0.59,0,0
1,2024,2,57,restaurant,Kazan,opening,true,1225826.46,1093415.31,73549.59,58861.56,2134951.36,0,4,73165.33,0.57,1.03,1,0.46,0,0
1,2024,2,58,retail,Novosibirsk,opening,true,3529091.81,3099504.52,211745.51,217841.78,1740384.7,0,12,37240.34,0.53,1.03,1,0.78,0,0
1,2024,2,59,autoservice,Novosibirsk,opening,true,2136844.53,2179861.3,0,-43016.77,3164174.41,0,8,192891.94,0.62,0.94,1,0.55,0,0
1,2024,2,60,autoservice,Novosibirsk,opening,true,1702361.12,1979365.95,102141.67,-379146.5,1944657.92,0,9,124970.57,0.57,1.01,1,0.65,0,0
1,2024,2,61,restaurant,Yekaterinburg,opening,true,1338057.38,1638057.25,0,-299999.87,949241.87,0,11,38956.83,0.68,0.91,1,0.55,0,0
1,2024,2,62,production,SaintPetersburg,opening,true,1036047.85,5495943.02,62162.87,-4522058.04,1800641.5,0,36,381161.35,0.67,0.9,1,0.52,0,0
1,2024,2,63,restaurant,Kazan,opening,true,1330791.2,1568452.14,0,-237660.94,1266663.14,0,9,134998.78,0.44,0.93,1,0.79,0,0
1,2024,2,64,retail,Yekaterinburg,growth,true,7792346.64,5389282.55,360459.61,2042604.48,8665311.51,0,10,83761.22,0.73,1.15,1,0.56,0,0
1,2024,2,65,restaurant,Novosibirsk,opening,true,1353377.99,1429043.82,0,-75665.83,1882342.49,0,10,73642.66,0.52,1.14,1,0.51,0,0
1,2024,2,66,autoservice,SaintPetersburg,growth,true,3564631.1,3318685.11,213877.87,32068.12,5720843.64,0,10,133127.44,0.5,1.18,1,0.67,0,0
1,2024,2,67,restaurant,Kazan,opening,true,2017942.36,1532748.33,72779.1,412414.93,2845672.92,0,7,82615.4,0.69,1.16,1,0.64,0,0
1,2024,2,68,production,Yekaterinburg,opening,true,1116122.02,3793958.29,66967.32,-2744803.59,-273749.53,0,28,120968.24,0.5,1.08,1,0.84,0,0
1,2024,2,69,retail,Moscow,opening,true,4261981.37,4205800.49,255718.88,-199538,2818559.1,0,10,204208.5,0.74,1.18,1,0.51,0,0
1,2024,2,70,production,SaintPetersburg,opening,true,1019698.4,3752354.08,0,-2732655.68,781075.88,0,19,281349.58,0.48,1.05,1,0.82,0,0
1,2024,2,71,restaurant,Moscow,opening,true,1498918.45,2000071.2,89935.11,-591087.86,2690306.12,0,9,102370.18,0.66,0.96,1,0.81,0,0
1,2024,2,72,logistics,Kazan,opening,true,1181745.34,2125742.39,0,-943997.05,1661315.44,0,15,161513.36,0.54,0.84,0.9,0.73,0,0
